Date of Transaction,Transaction Amount,Account Name,TransactionID,Transaction Type,Location (City),Alert Category,Account Number,Status,Current Balance
2024-05-28,-5553,Account 69084,T161100,Transfer out,South Jefffort,Investment Scam,4705197279,No Risk,703
2024-12-06,-8752,Account 21867,T603968,Transfer out,Port Meganbury,Money Laundering,5119700452,No Risk,0
2024-07-08,-2941,Account 60995,T591951,Transfer out,North Kyle,Money Laundering,5988676445,Risk,829
2024-02-21,-6344,Account 102969,T654374,Transfer out,Wilkinsonberg,Money Laundering,8169972115,Risk,0
2024-02-26,-2744,Account 81717,T345218,Transfer out,West Darrylside,Fraud,9849723625,No Risk,0
2024-12-21,-5014,Account 15223,T254225,Transfer out,West Brandi,Tax Evasion,7828219082,No Risk,435
2024-06-28,-6233,Account 31038,T269492,Transfer out,New James,Fraud,5988647286,No Risk,2453
2025-01-08,-7218,Account 17906,T593820,Transfer out,North Charles,Money Laundering,5454732269,No Risk,4552
2024-05-12,-4366,Account 9096,T823091,Transfer out,Englishport,Investment Scam,1862611917,No Risk,3272
2024-06-21,-4599,Account 74207,T360307,Transfer out,Torresport,Investment Scam,5599990741,No Risk,0
2024-04-11,-9688,Account 31294,T837794,Transfer out,New Randy,Money Laundering,4122747001,No Risk,9159
2024-09-05,-5526,Account 43671,T312460,Transfer out,Nelsonburgh,Tax Evasion,2553202159,No Risk,3026
2024-10-31,-8772,Account 68246,T195570,Transfer out,New Tannerburgh,Fraud,7877204603,No Risk,1551
2024-08-13,-6287,Account 1003,T703631,Transfer out,Elizabethton,Fraud,2112216691,No Risk,4399
2024-01-22,-5757,Account 88650,T475568,Transfer out,Port Michael,Fraud,1650708176,Risk,5239
2024-06-07,-718,Account 78437,T870163,Transfer out,Johnchester,Fraud,2820139067,No Risk,0
2024-07-18,-8368,Account 21121,T105405,Transfer out,Brandonview,Investment Scam,9842980733,Risk,0
2024-01-31,-1790,Account 26995,T822132,Transfer out,West Derek,Fraud,8658848008,Risk,0
2024-08-05,-2602,Account 9030,T469446,Transfer out,East Micheleview,Money Laundering,4377913992,No Risk,0
2024-01-30,-688,Account 10351,T673181,Transfer out,Lake Sharon,Fraud,9609719534,No Risk,0
2024-06-07,-4906,Account 10815,T400897,Transfer out,New Cynthiaview,Tax Evasion,5711259343,No Risk,1832
2024-05-23,-9279,Account 88053,T141080,Transfer out,Erinland,Money Laundering,9599469919,No Risk,25
2024-06-19,-8754,Account 94987,T106764,Transfer out,New James,Tax Evasion,4459736119,No Risk,6926
2024-05-07,-4446,Account 18955,T693046,Transfer out,Hillburgh,Fraud,2442341769,No Risk,0
2024-10-11,-4880,Account 42545,T743131,Transfer out,East Joannaland,Tax Evasion,4221371946,No Risk,805
2024-09-18,-14,Account 96544,T182652,Transfer out,Lake Scotttown,Fraud,9758723457,No Risk,0
2024-12-02,-3723,Account 86151,T234414,Transfer out,Coryside,Tax Evasion,4773380311,No Risk,0
2024-07-20,-1873,Account 99482,T432616,Transfer out,Browntown,Fraud,7935352042,No Risk,0
2024-09-06,-3781,Account 15218,T181415,Transfer out,North Susanborough,Money Laundering,7372151303,No Risk,1186
2024-05-21,-6019,Account 40951,T149447,Transfer out,Williammouth,Fraud,1205447614,Risk,2402
2024-10-24,-2807,Account 79854,T541077,Transfer out,Michaelton,Money Laundering,4322291871,Risk,0
2024-11-25,-3434,Account 70176,T163116,Transfer out,South Johnhaven,Investment Scam,8252689241,Risk,0
2024-12-08,-482,Account 47750,T429830,Transfer out,Theresaberg,Money Laundering,4097896845,No Risk,0
2024-10-06,-5530,Account 17718,T654577,Transfer out,Beckyberg,Tax Evasion,1346792476,No Risk,3093
2024-08-02,-7379,Account 6390,T440060,Transfer out,Port Patricia,Tax Evasion,7646812221,Risk,2640
2024-10-04,-6919,Account 28565,T284546,Transfer out,Bettyberg,Fraud,5419621180,No Risk,2893
2024-05-16,-4772,Account 83370,T852561,Transfer out,Gabrielstad,Tax Evasion,6467532919,No Risk,0
2024-10-20,-7401,Account 18341,T843581,Transfer out,Michelleshire,Money Laundering,8572012634,No Risk,6090
2024-09-03,-7304,Account 11006,T714575,Transfer out,New Michael,Money Laundering,9077111680,No Risk,0
2024-04-27,-9064,Account 6764,T609436,Transfer out,North Brenda,Fraud,1697355779,No Risk,1782
2024-04-27,-2463,Account 38194,T141772,Transfer out,West Zoefurt,Money Laundering,1893891724,No Risk,288
2024-02-29,-5320,Account 49848,T187364,Transfer out,Dyermouth,Tax Evasion,7228894035,No Risk,0
2024-05-30,-8757,Account 89169,T639960,Transfer out,South Carolynland,Tax Evasion,1604463747,No Risk,6114
2024-11-13,-9930,Account 10791,T341050,Transfer out,Robinsonchester,Fraud,8746598703,No Risk,6387
2024-09-12,-5075,Account 71097,T403553,Transfer out,Port Heatherborough,Tax Evasion,5787305692,Risk,842
2024-01-27,-6636,Account 34148,T730417,Transfer out,Lake Richard,Money Laundering,6916000348,No Risk,0
2024-05-03,-1572,Account 81139,T274604,Transfer out,Jeffreyborough,Tax Evasion,1749532998,No Risk,0
2024-12-07,-4335,Account 53912,T131841,Transfer out,Thompsonmouth,Fraud,4623979785,No Risk,0
2024-04-11,-6863,Account 72300,T124304,Transfer out,Johnchester,Fraud,4757865893,No Risk,4346
2024-06-16,-1396,Account 37244,T211657,Transfer out,Hernandezstad,Investment Scam,4601412563,No Risk,0
2024-05-27,-8733,Account 82100,T952904,Transfer out,New Ryan,Tax Evasion,9567824847,No Risk,6140
2024-03-01,-6356,Account 92826,T159192,Transfer out,North Eric,Fraud,6557664970,No Risk,0
2024-02-29,-9175,Account 3884,T285232,Transfer out,Russellshire,Fraud,1636455294,No Risk,7413
2025-01-09,-2224,Account 23249,T269642,Transfer out,Seanfort,Money Laundering,6028651615,No Risk,0
2024-06-04,-6389,Account 94936,T212425,Transfer out,West Allen,Fraud,4013241111,No Risk,2735
2024-06-13,-5739,Account 74620,T235757,Transfer out,Jerryburgh,Investment Scam,8685200802,Risk,0
2024-05-07,-1315,Account 32236,T828118,Transfer out,Petersonport,Investment Scam,9163452689,No Risk,0
2024-08-30,-4975,Account 7400,T357264,Transfer out,Williamsbury,Tax Evasion,8038818463,No Risk,0
2024-05-28,-1900,Account 98483,T133731,Transfer out,Mitchellstad,Tax Evasion,9271129296,No Risk,0
2024-02-24,-1558,Account 88623,T708140,Transfer out,Gallegosmouth,Money Laundering,9087311994,No Risk,0
2024-05-18,-711,Account 25692,T133794,Transfer out,East Ethanmouth,Tax Evasion,2690394867,No Risk,0
2024-10-27,-6908,Account 43602,T145997,Transfer out,North Anthony,Investment Scam,2259191488,Risk,0
2024-03-07,-7226,Account 62155,T978165,Transfer out,Allenburgh,Money Laundering,1758254931,No Risk,6741
2024-03-10,-8837,Account 19366,T664569,Transfer out,Port Sarah,Fraud,5168975831,No Risk,1570
2024-06-24,-9491,Account 20795,T779650,Transfer out,Davidmouth,Money Laundering,4925755625,No Risk,3205
2024-08-28,-9491,Account 64657,T731490,Transfer out,West Stephaniemouth,Investment Scam,7208142549,No Risk,5833
2024-07-16,-466,Account 90215,T394232,Transfer out,West Hannah,Tax Evasion,5553944068,No Risk,0
2024-12-09,-3271,Account 69132,T237340,Transfer out,West Thomasmouth,Money Laundering,9814955506,No Risk,0
2024-12-01,-9762,Account 86374,T153884,Transfer out,South David,Tax Evasion,6885421861,No Risk,9462
2024-12-18,-4750,Account 77905,T395534,Transfer out,Fernandezfurt,Investment Scam,2872365777,No Risk,0
2024-06-03,-8708,Account 43075,T546827,Transfer out,Douglasside,Fraud,1330554960,No Risk,7449
2024-09-13,-1737,Account 22950,T245407,Transfer out,New Jeremystad,Investment Scam,9825580599,No Risk,478
2024-02-14,-7176,Account 46430,T651306,Transfer out,Woodstad,Fraud,8315184668,No Risk,6630
2024-04-22,-6833,Account 15531,T733915,Transfer out,Chrisburgh,Money Laundering,6001944133,Risk,0
2024-03-05,-9327,Account 107761,T435158,Transfer out,South Ryanville,Investment Scam,9160809662,Risk,3240
2024-08-31,-7582,Account 37288,T663259,Transfer out,West David,Money Laundering,5140359653,No Risk,6688
2024-05-19,-7455,Account 53824,T711610,Transfer out,Samanthastad,Money Laundering,3274525908,No Risk,2703
2025-01-15,-5226,Account 55766,T372148,Transfer out,South Colinmouth,Fraud,6814681949,No Risk,0
2024-05-16,-3317,Account 75835,T326023,Transfer out,Brianland,Money Laundering,8336272083,Risk,0
2024-06-10,-3570,Account 4629,T428105,Transfer out,Port Joe,Money Laundering,4215311617,No Risk,1929
2024-11-07,-6676,Account 39749,T816035,Transfer out,South Debra,Investment Scam,3281331844,No Risk,0
2024-11-04,-8846,Account 23638,T690176,Transfer out,Taramouth,Fraud,5496732059,No Risk,2004
2024-01-16,-2352,Account 20239,T377005,Transfer out,Grantview,Fraud,7245163102,Risk,1175
2024-10-07,-5251,Account 98340,T329520,Transfer out,East Jennifer,Tax Evasion,4750330160,No Risk,4069
2024-08-04,-6088,Account 81973,T397468,Transfer out,Petersonhaven,Money Laundering,8223152312,Risk,0
2024-09-09,-3128,Account 82337,T185020,Transfer out,West Steven,Investment Scam,8377471541,No Risk,0
2025-01-15,-4303,Account 12476,T938735,Transfer out,Millsshire,Investment Scam,5838059307,No Risk,1184
2024-10-07,-5653,Account 57310,T704002,Transfer out,Simmonsville,Money Laundering,5151256045,No Risk,0
2024-04-03,-8134,Account 68161,T604212,Transfer out,Mcdanielberg,Investment Scam,8910764499,Risk,5047
2025-01-08,-515,Account 92179,T270664,Transfer out,Lisaville,Investment Scam,8603565646,No Risk,0
2024-10-08,-9598,Account 5443,T942215,Transfer out,Johnstonside,Investment Scam,8936142589,No Risk,4565
2024-12-05,-3102,Account 85675,T391761,Transfer out,South Meaganstad,Fraud,8172076764,No Risk,1949
2024-07-26,-7194,Account 85302,T538935,Transfer out,Jonathanborough,Investment Scam,8979942772,No Risk,2885
2025-01-09,-5628,Account 77751,T270329,Transfer out,Michelletown,Money Laundering,4015289504,No Risk,3952
2024-09-26,-4178,Account 7487,T242479,Transfer out,Mccarthyhaven,Money Laundering,8838455387,No Risk,815
2024-12-03,-8184,Account 106124,T304543,Transfer out,Christopherhaven,Fraud,9371286244,No Risk,1750
2024-06-15,-1603,Account 91736,T985399,Transfer out,North Jadeburgh,Tax Evasion,8630670034,No Risk,0
2024-08-23,-6655,Account 18292,T492252,Transfer out,South Ryanburgh,Fraud,6072489406,No Risk,1524
2024-12-27,-8659,Account 80381,T145773,Transfer out,Mezaport,Money Laundering,9419176954,No Risk,0
2024-12-26,-9881,Account 13599,T962564,Transfer out,East Amy,Investment Scam,3409214476,No Risk,6822
2024-12-14,-5173,Account 61190,T956421,Transfer out,North Krista,Tax Evasion,6874958561,No Risk,3021
2024-06-08,-863,Account 15196,T647736,Transfer out,North Patriciafort,Tax Evasion,8970013557,Risk,0
2024-03-22,-6250,Account 48081,T506460,Transfer out,East Ryan,Money Laundering,4147028434,No Risk,6027
2024-08-28,-3850,Account 43424,T712964,Transfer out,Albertfurt,Investment Scam,6432944794,No Risk,1681
2024-12-09,-9070,Account 24792,T138500,Transfer out,Courtneyburgh,Money Laundering,9830920585,No Risk,6770
2024-02-02,-5372,Account 89952,T411728,Transfer out,Lake Amanda,Fraud,3434676990,No Risk,5041
2024-11-25,-4746,Account 82487,T742190,Transfer out,North Brandonside,Investment Scam,9337858277,No Risk,3248
2024-04-19,-5597,Account 76525,T986856,Transfer out,Wolfeport,Money Laundering,6000782234,No Risk,0
2024-04-29,-4105,Account 68784,T511909,Transfer out,West Douglasport,Investment Scam,8089652901,No Risk,0
2024-09-26,-6601,Account 82192,T225043,Transfer out,Gabriellafort,Fraud,1941753884,No Risk,4969
2024-07-09,-6002,Account 93951,T738490,Transfer out,New Patrick,Investment Scam,1522966709,No Risk,0
2024-09-01,-8494,Account 61635,T486469,Transfer out,Jenkinsborough,Money Laundering,9506543898,No Risk,3374
2024-07-04,-9626,Account 35108,T122225,Transfer out,Port Donna,Investment Scam,5681581826,No Risk,8122
2024-10-17,-1702,Account 69119,T215137,Transfer out,Russellberg,Money Laundering,9183093197,No Risk,0
2024-05-08,-5265,Account 41231,T652866,Transfer out,North Reneefort,Tax Evasion,6816264058,Risk,3313
2024-07-20,-8549,Account 16325,T592276,Transfer out,Costaberg,Investment Scam,4079778379,No Risk,5225
2025-01-12,-6499,Account 107594,T707189,Transfer out,Lake Cynthia,Money Laundering,5665171881,No Risk,0
2024-03-06,-4323,Account 56394,T675714,Transfer out,North Michaelstad,Tax Evasion,4316672756,No Risk,3339
2024-08-28,-8416,Account 55621,T944056,Transfer out,Debraton,Tax Evasion,2435531816,No Risk,0
2024-02-08,-10,Account 72962,T263237,Transfer out,Lake Vanessa,Fraud,6649841596,No Risk,0
2024-10-05,-1457,Account 102663,T646800,Transfer out,Gilberthaven,Tax Evasion,1973124947,No Risk,0
2024-02-11,-7709,Account 104858,T474303,Transfer out,West Rachel,Investment Scam,1919011552,Risk,0
2024-09-29,-3483,Account 49287,T579564,Transfer out,East Katieport,Tax Evasion,2943667231,Risk,0
2024-08-05,-7123,Account 52863,T870808,Transfer out,Jesseburgh,Investment Scam,9730944188,No Risk,5534
2024-07-24,-4304,Account 14326,T796801,Transfer out,Wyattchester,Money Laundering,9048137580,No Risk,3750
2024-01-28,-2922,Account 38892,T428918,Transfer out,North Richard,Fraud,8003095865,No Risk,0
2024-10-13,-4040,Account 27430,T583807,Transfer out,North Stephanieview,Tax Evasion,7033238376,No Risk,0
2024-12-24,-4179,Account 34219,T836894,Transfer out,Valerieland,Investment Scam,1514911223,Risk,0
2024-06-28,-9653,Account 39650,T570164,Transfer out,South Sandra,Fraud,3899636288,No Risk,6198
2024-08-09,-2781,Account 73867,T529495,Transfer out,Hugheston,Fraud,2439569100,No Risk,0
2024-06-02,-5554,Account 87239,T733271,Transfer out,Lake Cory,Money Laundering,9035080876,No Risk,0
2024-06-23,-4699,Account 72648,T895317,Transfer out,Harveyport,Fraud,3829551858,Risk,817
2024-04-18,-2965,Account 31939,T202332,Transfer out,North Gail,Investment Scam,3936538154,Risk,0
2024-10-24,-7889,Account 50456,T412383,Transfer out,East Scottburgh,Tax Evasion,2078689134,No Risk,3502
2024-07-14,-8859,Account 88421,T266849,Transfer out,North Brett,Tax Evasion,9917279831,No Risk,3177
2024-12-08,-6674,Account 74789,T349457,Transfer out,Matthewside,Investment Scam,8961658123,Risk,0
2024-08-12,-7436,Account 107838,T218737,Transfer out,New Randytown,Tax Evasion,7565055685,No Risk,2835
2024-12-05,-9369,Account 92190,T637890,Transfer out,South Jameston,Fraud,1781872613,No Risk,379
2024-10-10,-6545,Account 77843,T550612,Transfer out,West Samanthafort,Fraud,5041739074,No Risk,1186
2024-06-28,-4175,Account 64012,T937763,Transfer out,Port Wyatttown,Fraud,9841970414,No Risk,0
2025-01-15,-3845,Account 47403,T812122,Transfer out,North Ronaldberg,Tax Evasion,5724950020,No Risk,0
2024-10-05,-3977,Account 37284,T982773,Transfer out,Sullivanburgh,Fraud,5977221606,Risk,0
2024-01-20,-1609,Account 97298,T913574,Transfer out,Sanchezport,Investment Scam,4002932297,No Risk,0
2024-08-19,-5515,Account 83513,T174179,Transfer out,West Wendytown,Tax Evasion,2995877163,No Risk,0
2024-02-07,-8071,Account 41254,T648029,Transfer out,Kimstad,Investment Scam,6166385757,No Risk,4082
2024-06-29,-64,Account 33267,T283489,Transfer out,Amyside,Investment Scam,4995386077,Risk,0
2024-11-28,-1000,Account 87766,T723643,Transfer out,Copelandchester,Tax Evasion,7875147729,No Risk,0
2024-04-16,-5988,Account 34191,T119820,Transfer out,South Barbaratown,Fraud,6953105684,No Risk,2574
2024-07-01,-3213,Account 34229,T110366,Transfer out,Schultzview,Investment Scam,2252187242,Risk,0
2024-11-04,-4395,Account 81472,T380584,Transfer out,East Markland,Fraud,5367576266,No Risk,4140
2024-01-19,-9569,Account 52847,T971607,Transfer out,Port Joelton,Tax Evasion,2075699416,No Risk,4629
2024-07-18,-9401,Account 93427,T475253,Transfer out,New Scott,Investment Scam,5610965630,No Risk,5364
2024-06-24,-4179,Account 18308,T415053,Transfer out,West John,Fraud,3215903313,No Risk,1326
2024-12-28,-3883,Account 63741,T230695,Transfer out,Port Matthew,Investment Scam,5265733929,No Risk,0
2024-07-18,-6061,Account 68093,T257809,Transfer out,New Christine,Tax Evasion,3132443387,No Risk,5608
2024-03-18,-8327,Account 15352,T939652,Transfer out,Port Susanfort,Tax Evasion,9150370901,Risk,0
2024-04-21,-2085,Account 89265,T496205,Transfer out,Brownburgh,Money Laundering,3560814042,No Risk,0
2024-10-04,-6734,Account 53276,T884946,Transfer out,North Stephenburgh,Money Laundering,4076358493,No Risk,6359
2024-04-01,-905,Account 916,T799667,Transfer out,Melissaton,Money Laundering,5005151472,No Risk,0
2024-09-10,-3880,Account 27045,T617949,Transfer out,Robertostad,Fraud,7081389197,No Risk,0
2024-02-28,-4607,Account 2076,T368494,Transfer out,Sellersview,Money Laundering,2406444078,No Risk,4026
2024-03-07,-5694,Account 24281,T742418,Transfer out,Johnsonbury,Fraud,5465605682,Risk,3143
2024-10-28,-802,Account 85133,T973640,Transfer out,Brentbury,Fraud,4851421632,No Risk,0
2025-01-13,-4790,Account 79678,T500182,Transfer out,Burnsberg,Investment Scam,8356597232,No Risk,313
2024-12-08,-5484,Account 83865,T852611,Transfer out,South Emmatown,Investment Scam,8842292913,No Risk,2009
2024-03-15,-6800,Account 13514,T342464,Transfer out,New Angelastad,Money Laundering,9146864626,Risk,0
2024-06-05,-1090,Account 77739,T145504,Transfer out,South Jameschester,Money Laundering,1297181280,Risk,0
2024-08-12,-1387,Account 51016,T797355,Transfer out,West Elaine,Tax Evasion,8551373658,No Risk,0
2024-10-26,-3766,Account 46787,T182921,Transfer out,North Laura,Money Laundering,5169176919,No Risk,0
2024-11-01,-1457,Account 217,T642623,Transfer out,New Karen,Tax Evasion,8835258517,No Risk,0
2024-05-05,-6721,Account 69380,T489951,Transfer out,East Brianfort,Investment Scam,5033071941,Risk,0
2024-01-24,-7389,Account 17065,T984523,Transfer out,North Theodorechester,Tax Evasion,6780210858,No Risk,3738
2024-06-30,-2348,Account 7365,T303994,Transfer out,New Joshua,Tax Evasion,8978089498,Risk,0
2024-08-15,-8391,Account 3178,T481290,Transfer out,Lake Catherine,Investment Scam,9046940994,No Risk,0
2024-08-17,-4431,Account 77607,T859052,Transfer out,Port Stephanie,Money Laundering,8617072882,No Risk,0
2024-12-08,-7078,Account 73803,T436797,Transfer out,North Kimberlymouth,Money Laundering,1062602375,No Risk,2725
2024-07-15,-9249,Account 9691,T439442,Transfer out,East William,Money Laundering,5239912600,No Risk,2904
2024-08-27,-5387,Account 102090,T105306,Transfer out,Angelafurt,Fraud,6406390263,Risk,0
2024-12-21,-7207,Account 66504,T226742,Transfer out,Scotttown,Money Laundering,2470942661,Risk,3438
2024-07-17,-2649,Account 97040,T317770,Transfer out,West Anthony,Investment Scam,1505537119,No Risk,0
2024-06-09,-3548,Account 95390,T824709,Transfer out,New Patricia,Tax Evasion,8948046787,No Risk,0
2024-02-11,-484,Account 3071,T785240,Transfer out,Penaside,Investment Scam,7219568678,No Risk,0
2024-06-17,-3158,Account 105513,T300358,Transfer out,Garyland,Tax Evasion,8478187147,No Risk,0
2024-10-22,-5337,Account 27664,T397448,Transfer out,Schmidtmouth,Investment Scam,1123418721,Risk,0
2024-12-08,-3724,Account 15487,T364519,Transfer out,Blackton,Money Laundering,1477110936,No Risk,0
2024-07-02,-4712,Account 47258,T246407,Transfer out,Edwardsview,Fraud,7853905686,No Risk,336
2024-05-18,-6033,Account 34841,T985177,Transfer out,Port Susanville,Investment Scam,5881560574,No Risk,0
2024-02-22,-9770,Account 4585,T863147,Transfer out,West Linda,Tax Evasion,5117030522,No Risk,33
2024-10-01,-2465,Account 4532,T747029,Transfer out,East Barbara,Money Laundering,9018544653,Risk,0
2024-01-27,-2491,Account 75069,T814507,Transfer out,Victorburgh,Fraud,4976848215,No Risk,0
2024-08-26,-9989,Account 17516,T603670,Transfer out,East Monique,Tax Evasion,7090630298,No Risk,1146
2024-09-14,-4192,Account 97623,T520513,Transfer out,North Kevinland,Fraud,2826222988,No Risk,0
2024-07-27,-9190,Account 76387,T461196,Transfer out,West David,Fraud,7440520427,No Risk,6714
2024-12-18,-2830,Account 24334,T277736,Transfer out,New Nicholas,Money Laundering,1217745277,Risk,0
2024-10-12,-9080,Account 40379,T754599,Transfer out,Ashleyside,Money Laundering,1858014328,No Risk,4776
2024-08-25,-4560,Account 56819,T403144,Transfer out,Port Stacy,Investment Scam,1747967900,No Risk,0
2024-07-04,-5666,Account 45507,T659881,Transfer out,East Christy,Money Laundering,6938560323,No Risk,302
2024-05-15,-2889,Account 9986,T723515,Transfer out,Clarenceport,Tax Evasion,3111457486,No Risk,0
2024-07-06,-1795,Account 100542,T745287,Transfer out,Lake Joshua,Fraud,7582352744,No Risk,0
2024-09-15,-845,Account 64586,T941387,Transfer out,East Shawn,Investment Scam,6865451696,No Risk,0
2024-08-04,-9779,Account 78442,T761865,Transfer out,West Elizabeth,Fraud,5026693687,No Risk,5516
2024-12-24,-8778,Account 22229,T562164,Transfer out,New Nathaniel,Tax Evasion,1720038773,Risk,1483
2024-12-23,-6618,Account 102726,T252925,Transfer out,East Patriciastad,Investment Scam,1940438898,No Risk,2694
2024-03-09,-9449,Account 56148,T259962,Transfer out,Michaelshire,Money Laundering,3905889806,No Risk,6855
2024-07-10,-4276,Account 52113,T902706,Transfer out,Martinberg,Fraud,9121849619,No Risk,0
2024-05-20,-5737,Account 86308,T742756,Transfer out,West Dale,Fraud,2872883011,Risk,0
2024-12-29,-5739,Account 6296,T509730,Transfer out,Lake Jeffrey,Money Laundering,6563241852,No Risk,0
2024-06-03,-167,Account 79406,T699155,Transfer out,Phillipsside,Money Laundering,8160808270,No Risk,0
2024-12-06,-7352,Account 89289,T589037,Transfer out,Williammouth,Money Laundering,2385272492,No Risk,2066
2024-07-03,-8445,Account 100639,T774009,Transfer out,Vanessastad,Fraud,6695032170,No Risk,567
2024-05-21,-3114,Account 107239,T477594,Transfer out,Bradleyhaven,Investment Scam,9782905510,Risk,0
2024-04-25,-2435,Account 35,T667076,Transfer out,Brownchester,Investment Scam,5775042212,No Risk,0
2024-10-24,-374,Account 78775,T213611,Transfer out,Curtismouth,Tax Evasion,2659203360,No Risk,0
2024-10-11,-2752,Account 20173,T370970,Transfer out,Angelafort,Money Laundering,8792762856,No Risk,655
2024-08-08,-35,Account 103402,T234721,Transfer out,Lake Jenniferburgh,Fraud,5911155844,No Risk,0
2024-08-25,-6002,Account 10911,T617293,Transfer out,Daniellehaven,Tax Evasion,2350431248,No Risk,0
2024-01-26,-3090,Account 69286,T294671,Transfer out,North Mary,Tax Evasion,8247874702,No Risk,0
2024-06-07,-738,Account 58873,T233943,Transfer out,West Heatherbury,Investment Scam,3298272469,No Risk,0
2024-11-29,-2069,Account 59142,T884048,Transfer out,Cranefort,Money Laundering,8529095477,Risk,0
2024-04-24,-2241,Account 50863,T330145,Transfer out,East Victoriastad,Investment Scam,9193104202,Risk,0
2024-10-08,-190,Account 24720,T218154,Transfer out,Port Jennifer,Tax Evasion,6533717770,No Risk,0
2024-01-19,-6898,Account 58774,T228164,Transfer out,Payneburgh,Investment Scam,6702385650,No Risk,3118
2024-09-28,-2888,Account 60995,T995791,Transfer out,Fernandofort,Tax Evasion,5988676445,No Risk,0
2024-01-31,-1887,Account 61757,T507126,Transfer out,East Anna,Investment Scam,8882964407,No Risk,0
2024-03-01,-9,Account 59865,T635623,Transfer out,Booneport,Fraud,2453795859,No Risk,0
2024-12-09,-3763,Account 38268,T996766,Transfer out,Brendaside,Investment Scam,6461179527,No Risk,0
2024-04-19,-2030,Account 62690,T656775,Transfer out,Lake Andreaville,Tax Evasion,8923673020,Risk,0
2024-06-01,-8184,Account 15754,T455009,Transfer out,Lake Nicoleshire,Money Laundering,5841025405,No Risk,0
2024-04-08,-138,Account 93768,T295946,Transfer out,Valentineton,Fraud,3949235737,No Risk,0
2024-01-17,-2108,Account 35725,T955673,Transfer out,Matthewside,Tax Evasion,8554788730,No Risk,0
2024-06-24,-8704,Account 91967,T255620,Transfer out,New Troy,Money Laundering,7498849069,No Risk,905
2024-03-14,-3138,Account 94561,T791434,Transfer out,Port Johnberg,Money Laundering,2111399653,No Risk,0
2024-09-26,-8329,Account 25571,T502645,Transfer out,Alexanderborough,Fraud,9638239496,No Risk,0
2024-12-01,-8614,Account 11473,T885478,Transfer out,Reynoldsview,Investment Scam,3167240417,No Risk,5380
2025-01-10,-9596,Account 55970,T928786,Transfer out,West Randall,Investment Scam,9175512490,No Risk,4099
2024-11-06,-8953,Account 86768,T560844,Transfer out,North Brianburgh,Investment Scam,3287824233,Risk,5283
2024-08-13,-561,Account 78444,T587889,Transfer out,Owenshire,Fraud,3387620238,No Risk,0
2024-07-04,-9785,Account 92275,T918519,Transfer out,New Robert,Money Laundering,4558383155,Risk,2966
2024-11-30,-70,Account 80161,T298910,Transfer out,New Karenville,Investment Scam,6867857780,No Risk,0
2024-07-30,-2723,Account 104226,T176649,Transfer out,Elijahburgh,Money Laundering,1229781276,Risk,0
2024-02-21,-8363,Account 96060,T253684,Transfer out,East Christopherchester,Tax Evasion,6731751502,No Risk,0
2024-10-24,-8356,Account 79249,T932299,Transfer out,Gonzalesfurt,Investment Scam,6260490348,No Risk,5256
2024-01-23,-334,Account 72773,T834601,Transfer out,Allenshire,Money Laundering,6393162398,No Risk,0
2024-10-17,-1010,Account 43637,T609343,Transfer out,Cindyport,Investment Scam,1516213349,No Risk,0
2024-06-13,-7769,Account 54119,T968999,Transfer out,Johnsonchester,Fraud,7628998359,No Risk,3799
2024-03-09,-1475,Account 52704,T884925,Transfer out,Phillipsview,Fraud,2785565046,No Risk,0
2024-07-07,-3295,Account 93687,T807923,Transfer out,South Hollyside,Fraud,7891514027,No Risk,0
2024-08-22,-8945,Account 33255,T498141,Transfer out,East Michaelburgh,Money Laundering,5763652441,No Risk,4613
2024-04-13,-4324,Account 105775,T485872,Transfer out,East Nicholasfort,Money Laundering,2752978767,No Risk,1630
2024-10-31,-5707,Account 29409,T608811,Transfer out,New Sandraport,Fraud,9662851416,No Risk,3455
2024-09-02,-2659,Account 95077,T832050,Transfer out,Philipport,Money Laundering,7296935616,No Risk,1528
2024-01-31,-673,Account 82994,T136486,Transfer out,Scottberg,Money Laundering,2355706963,Risk,0
2024-01-22,-5603,Account 41043,T319957,Transfer out,Port Roger,Money Laundering,7122470703,Risk,2536
2024-08-19,-9028,Account 70733,T523485,Transfer out,New Elizabethmouth,Money Laundering,9711616659,No Risk,8101
2024-07-28,-5823,Account 22994,T741237,Transfer out,West Steven,Fraud,9291145964,No Risk,5128
2024-08-16,-4556,Account 26557,T943023,Transfer out,North Rebeccatown,Fraud,1973890888,No Risk,0
2024-07-11,-6603,Account 96802,T179747,Transfer out,Stephanieview,Tax Evasion,3040402187,No Risk,5238
2024-06-09,-8404,Account 10473,T751924,Transfer out,South Charles,Investment Scam,6755882211,No Risk,0
2024-07-08,-6768,Account 40652,T712444,Transfer out,East Michael,Investment Scam,2323390187,No Risk,4457
2024-12-18,-1306,Account 101807,T736012,Transfer out,East Shannon,Tax Evasion,3755319458,No Risk,0
2024-11-06,-6514,Account 26179,T714309,Transfer out,Alexanderberg,Money Laundering,8790211012,No Risk,5280
2024-12-10,-5518,Account 43480,T702580,Transfer out,West Kathyshire,Fraud,2856341289,No Risk,0
2024-11-24,-2507,Account 87955,T200188,Transfer out,East Stephanie,Tax Evasion,2483916431,Risk,2483
2024-01-19,-6521,Account 41700,T858299,Transfer out,Leeport,Money Laundering,9990934579,No Risk,5005
