Date of Transaction,Analyst Name,TransactionID,Account Number,Stage,Status,Transaction Amount,Alert Category
2024-03-16,Samuel Barry,T686143,5777563054,In Progress,Risk,-3222,Fraud
2025-01-10,Kari Rhodes,T469042,6090498266,Closed-No Risk,Risk,1644,Investment Scam
2024-05-19,Melissa Holt,T867024,6804035292,Closed-Risk,Risk,-5161,Investment Scam
2024-06-12,Nicole Long,T252909,2600558225,In Progress,Risk,1618,Money Laundering
2025-01-01,Ashley Orr,T886212,7767172779,Closed-Risk,Risk,-8652,Money Laundering
2024-02-23,Christine Davis,T328433,4197534051,Closed-Risk,Risk,6169,Fraud
2024-05-17,Ashley Orr,T293969,6521812826,In Progress,Risk,8988,Money Laundering
2024-03-05,Nicole Long,T488884,2719759102,In Progress,Risk,5931,Fraud
2024-12-14,Nicole Long,T434590,9386972587,Closed-Risk,Risk,-2258,Money Laundering
2024-08-05,Jeffrey Moore,T242464,5286990821,In Progress,Risk,-5114,Money Laundering
2024-10-13,Kari Rhodes,T900283,7400748094,In Progress,Risk,-7058,Money Laundering
2024-03-14,Samuel Barry,T375170,3945302495,Closed-No Risk,Risk,5079,Money Laundering
2024-11-13,Sheila Brown,T800338,5805444850,In Progress,Risk,-5221,Investment Scam
2024-03-31,Christine Davis,T577382,8990417107,In Progress,Risk,3167,Investment Scam
2024-05-24,Whitney Wilson,T616204,2153377100,Closed-No Risk,Risk,5273,Money Laundering
2024-07-10,Nicole Long,T448256,2955626841,Closed-Risk,Risk,-7939,Money Laundering
2024-06-01,Robin Lowe,T624383,9597464399,In Progress,Risk,8510,Money Laundering
2024-05-03,Samuel Barry,T558626,6659200730,Closed-Risk,Risk,-9773,Money Laundering
2024-07-12,Nicole Long,T740349,3589469822,In Progress,Risk,5136,Money Laundering
2024-05-18,Donna Snow,T824158,1256534075,In Progress,Risk,9757,Tax Evasion
2024-05-21,Melissa Holt,T736205,3855321906,Closed-No Risk,Risk,-9345,Fraud
2024-08-01,Christine Davis,T761602,1965913245,Closed-No Risk,Risk,8862,Investment Scam
2024-04-07,Donna Snow,T444444,4976939158,In Progress,Risk,7111,Tax Evasion
2024-08-20,Nicole Long,T674884,5667643157,In Progress,Risk,-4787,Fraud
2024-10-31,Kari Rhodes,T254437,2128543422,In Progress,Risk,4545,Money Laundering
2024-05-08,Melissa Holt,T194631,3523329681,Closed-Risk,Risk,1797,Money Laundering
2024-06-22,Robin Lowe,T111065,8843914303,In Progress,Risk,9985,Tax Evasion
2024-07-25,Nicole Long,T771332,7095159039,Closed-No Risk,Risk,-8220,Money Laundering
2024-09-27,Donna Snow,T668079,8274158803,In Progress,Risk,110,Money Laundering
2024-01-25,Donna Snow,T463431,5623543250,In Progress,Risk,-6492,Money Laundering
2024-02-05,Ryan Mejia,T759871,9642440340,Closed-No Risk,Risk,925,Tax Evasion
2024-08-19,Robin Lowe,T703482,9759635691,In Progress,Risk,-8053,Fraud
2024-06-16,Melissa Holt,T838571,1355615003,In Progress,Risk,-3037,Fraud
2024-04-27,Jeffrey Moore,T987040,5716887260,In Progress,Risk,9727,Investment Scam
2024-10-29,Christine Davis,T445242,2354415753,In Progress,Risk,3271,Fraud
2024-10-14,William Melton,T456092,2097387407,In Progress,Risk,5895,Tax Evasion
2024-02-05,Melissa Holt,T451285,2269765916,Closed-No Risk,Risk,-3442,Tax Evasion
2024-10-22,Kathleen Raymond,T772382,9720632120,Closed-No Risk,Risk,5242,Investment Scam
2024-04-13,Kathleen Raymond,T469970,8366069841,Closed-No Risk,Risk,-4286,Investment Scam
2024-02-01,Nicole Long,T973086,8891593768,Closed-Risk,Risk,612,Fraud
2024-11-24,Sheila Brown,T998989,9796354352,In Progress,Risk,-6487,Money Laundering
2024-01-27,Kathleen Raymond,T802355,2173328494,Closed-Risk,Risk,-788,Investment Scam
2024-10-13,William Melton,T651518,5807276147,In Progress,Risk,-4543,Tax Evasion
2024-09-30,William Melton,T728053,2093054034,In Progress,Risk,8151,Tax Evasion
2024-02-14,Jeffrey Moore,T703926,8012101804,In Progress,Risk,4069,Investment Scam
2024-02-28,Kari Rhodes,T749892,7266028257,In Progress,Risk,-6951,Money Laundering
2024-03-22,Robin Lowe,T974325,3713790707,In Progress,Risk,4725,Tax Evasion
2024-11-24,Kari Rhodes,T956053,3967327896,In Progress,Risk,-9735,Investment Scam
2024-12-20,Jeffrey Moore,T340265,1480844502,Closed-Risk,Risk,-5073,Fraud
2024-10-24,Christine Davis,T442421,4926458143,Closed-No Risk,Risk,-3257,Tax Evasion
2024-07-20,Sheila Brown,T775387,1958297598,In Progress,Risk,-2792,Money Laundering
2024-05-03,Donna Snow,T280340,7423878610,Closed-No Risk,Risk,-2584,Money Laundering
2024-09-29,Ashley Orr,T584399,1946310251,In Progress,Risk,2801,Fraud
2024-05-19,William Melton,T747984,7893406796,In Progress,Risk,6934,Fraud
2024-06-26,Nicole Long,T651589,9425046877,In Progress,Risk,2648,Investment Scam
2024-07-11,Robin Lowe,T784059,8609015174,Closed-Risk,Risk,3215,Tax Evasion
2024-07-25,Whitney Wilson,T732084,7523414088,In Progress,Risk,-1228,Investment Scam
2025-01-07,Ashley Orr,T965075,2339362870,In Progress,Risk,6558,Tax Evasion
2024-02-04,Kathleen Raymond,T742377,4380733908,Closed-No Risk,Risk,9512,Fraud
2024-04-27,Robin Lowe,T982855,1642097888,Closed-Risk,Risk,6421,Tax Evasion
2024-02-25,Kari Rhodes,T249317,2995805869,In Progress,Risk,8876,Investment Scam
2024-10-21,Robin Lowe,T574013,7527636544,Closed-No Risk,Risk,-5807,Money Laundering
2024-11-28,Martha Anderson,T872953,9125264767,In Progress,Risk,248,Tax Evasion
2024-06-15,Sheila Brown,T228782,2641094887,Closed-Risk,Risk,2376,Fraud
2024-02-23,Donna Snow,T668721,7901034030,Closed-No Risk,Risk,2794,Tax Evasion
2024-12-22,Jeffrey Moore,T163542,4999123265,Closed-No Risk,Risk,-1392,Tax Evasion
2024-04-04,Nicole Long,T254458,8862043838,Closed-Risk,Risk,-635,Money Laundering
2024-09-21,Christine Davis,T914927,2023902688,In Progress,Risk,-5419,Money Laundering
2024-03-31,Nicole Long,T107295,8235857267,In Progress,Risk,2779,Money Laundering
2024-05-20,Christine Davis,T189346,9768298199,Closed-Risk,Risk,4500,Fraud
2024-04-10,Sheila Brown,T165075,9225292453,In Progress,Risk,1986,Fraud
2024-03-07,William Melton,T121292,9335253831,Closed-No Risk,Risk,-5023,Money Laundering
2024-07-01,Ashley Orr,T619945,8818657324,In Progress,Risk,8549,Fraud
2025-01-04,Jeffrey Moore,T425944,5459530243,Closed-No Risk,Risk,3916,Investment Scam
2024-01-18,Donna Snow,T894653,5608670862,Closed-Risk,Risk,-6857,Fraud
2024-09-28,Sheila Brown,T520538,5039136644,Closed-Risk,Risk,6557,Tax Evasion
2024-07-12,Donna Snow,T618219,1230844150,In Progress,Risk,1030,Investment Scam
2024-12-19,Ashley Orr,T107866,2413740781,In Progress,Risk,4002,Money Laundering
2024-12-11,Whitney Wilson,T665071,2340092890,Closed-Risk,Risk,-9691,Fraud
2024-02-02,Ashley Orr,T697093,4988782791,In Progress,Risk,1687,Money Laundering
2024-08-23,Robin Lowe,T895023,6515764760,Closed-Risk,Risk,8974,Tax Evasion
2024-10-31,Ryan Mejia,T147532,6325463555,In Progress,Risk,-2452,Tax Evasion
2024-05-24,Ashley Orr,T196566,8024432455,Closed-No Risk,Risk,-9891,Tax Evasion
2024-10-26,Samuel Barry,T418994,3123598325,Closed-Risk,Risk,-1183,Fraud
2024-10-28,Jeffrey Moore,T185689,6691382060,Closed-No Risk,Risk,6002,Tax Evasion
2024-05-29,Robin Lowe,T991280,2477330879,Closed-No Risk,Risk,-8633,Tax Evasion
2024-09-30,Ryan Mejia,T500568,9658152897,Closed-Risk,Risk,-9047,Money Laundering
2024-10-25,Kari Rhodes,T462595,5176816786,In Progress,Risk,1612,Investment Scam
2024-03-29,Ashley Orr,T846620,2400427603,In Progress,Risk,-4963,Tax Evasion
2024-10-18,Ashley Orr,T453321,7110526659,In Progress,Risk,2424,Money Laundering
2024-06-30,Melissa Holt,T678442,6567373174,Closed-Risk,Risk,-8662,Investment Scam
2024-05-17,Kathleen Raymond,T825841,5286829821,In Progress,Risk,6863,Fraud
2024-03-18,Robin Lowe,T555835,9663521781,Closed-No Risk,Risk,9027,Fraud
2024-10-13,Robin Lowe,T438724,1438271620,Closed-Risk,Risk,-4980,Tax Evasion
2024-04-19,Christine Davis,T594478,8503294153,Closed-No Risk,Risk,3925,Investment Scam
2025-01-02,Jeffrey Moore,T475941,8575424843,In Progress,Risk,6311,Investment Scam
2024-12-04,Melissa Holt,T749157,3732326363,In Progress,Risk,-4968,Investment Scam
2024-10-26,Robin Lowe,T860735,7681069380,In Progress,Risk,-3217,Investment Scam
2024-12-24,Sheila Brown,T957276,4511051978,In Progress,Risk,-5872,Tax Evasion
2024-08-10,Melissa Holt,T893491,1654929276,Closed-Risk,Risk,6190,Fraud
2024-12-30,Kathleen Raymond,T114291,9596474519,In Progress,Risk,-4602,Investment Scam
2024-10-23,William Melton,T170587,3087976950,In Progress,Risk,1166,Fraud
2024-03-04,Sheila Brown,T116145,3914590046,Closed-No Risk,Risk,-509,Investment Scam
2024-06-18,Christine Davis,T116812,6425265171,Closed-Risk,Risk,-9445,Fraud
2024-05-30,Samuel Barry,T463142,8699172656,Closed-No Risk,Risk,8939,Money Laundering
2025-01-05,Martha Anderson,T659397,8212223974,In Progress,Risk,-9329,Tax Evasion
2024-12-13,Melissa Holt,T942949,8105926061,Closed-Risk,Risk,-887,Tax Evasion
2024-03-31,Ryan Mejia,T230813,5572280925,Closed-No Risk,Risk,6991,Money Laundering
2024-06-30,Sheila Brown,T897269,4211132253,Closed-No Risk,Risk,4799,Investment Scam
2024-04-02,Samuel Barry,T941105,2824001377,In Progress,Risk,2824,Fraud
2025-01-01,Melissa Holt,T488499,6456152014,In Progress,Risk,-4683,Money Laundering
2024-05-01,Christine Davis,T493184,9111930819,Closed-Risk,Risk,3496,Investment Scam
2024-11-11,Ashley Orr,T416350,9860700816,Closed-Risk,Risk,-448,Money Laundering
2025-01-10,Melissa Holt,T675534,7572962443,In Progress,Risk,-7195,Investment Scam
2024-07-01,Donna Snow,T165613,6858886719,Closed-Risk,Risk,3746,Money Laundering
2024-10-20,Donna Snow,T834740,5617946968,In Progress,Risk,-7594,Fraud
2024-05-29,Melissa Holt,T866143,5020540840,Closed-No Risk,Risk,7589,Money Laundering
2024-07-11,Samuel Barry,T403293,4445395636,Closed-No Risk,Risk,584,Fraud
2024-08-05,Melissa Holt,T376203,2542313366,Closed-Risk,Risk,-6002,Fraud
2024-12-30,Sheila Brown,T856988,8875298171,In Progress,Risk,-2515,Fraud
2024-02-24,William Melton,T307860,2570620597,Closed-No Risk,Risk,-8931,Tax Evasion
2024-10-15,Melissa Holt,T825799,8664154238,Closed-No Risk,Risk,-646,Tax Evasion
2024-03-04,Martha Anderson,T554639,9250889116,Closed-No Risk,Risk,-3091,Investment Scam
2024-10-10,Donna Snow,T189434,6363404437,In Progress,Risk,6042,Tax Evasion
2024-09-05,Kari Rhodes,T551176,3594493238,In Progress,Risk,8469,Tax Evasion
2024-08-12,Robin Lowe,T535076,1380948958,Closed-Risk,Risk,-1859,Money Laundering
2024-06-06,Robin Lowe,T372599,7203797799,In Progress,Risk,-1146,Fraud
2024-06-11,Ryan Mejia,T416152,6958042627,Closed-Risk,Risk,60,Money Laundering
2024-02-16,Robin Lowe,T302208,7184595913,Closed-No Risk,Risk,-4792,Fraud
2024-08-01,Melissa Holt,T987666,7617394251,Closed-No Risk,Risk,3631,Investment Scam
2024-06-17,Ashley Orr,T450208,2816856790,Closed-No Risk,Risk,-5812,Money Laundering
2024-06-18,Nicole Long,T229702,9423562048,In Progress,Risk,-838,Fraud
2024-11-29,William Melton,T595277,1310411447,In Progress,Risk,-1030,Tax Evasion
2025-01-02,Jeffrey Moore,T962518,6051230315,In Progress,Risk,519,Fraud
2024-05-15,Nicole Long,T208411,4134681679,In Progress,Risk,-3113,Fraud
2024-06-09,Nicole Long,T173693,6175464814,Closed-No Risk,Risk,2990,Fraud
2024-12-18,Donna Snow,T515981,5852569991,In Progress,Risk,-6525,Tax Evasion
2024-06-03,Samuel Barry,T719581,3449114506,Closed-Risk,Risk,6342,Investment Scam
2024-10-27,Kathleen Raymond,T947489,8236611077,In Progress,Risk,801,Investment Scam
2024-04-17,Kathleen Raymond,T940673,2547815063,Closed-Risk,Risk,-4105,Fraud
2024-12-02,Ashley Orr,T848364,5017741979,In Progress,Risk,1248,Money Laundering
2024-03-17,Donna Snow,T267364,3301618077,Closed-No Risk,Risk,9369,Investment Scam
2024-09-01,Whitney Wilson,T869859,7973001026,In Progress,Risk,1748,Investment Scam
2024-12-27,Whitney Wilson,T907911,9549022139,In Progress,Risk,-7203,Fraud
2024-05-20,Robin Lowe,T517272,2985408362,Closed-No Risk,Risk,-1480,Fraud
2024-08-22,Jeffrey Moore,T605657,3632099120,In Progress,Risk,3005,Tax Evasion
2024-08-23,Jeffrey Moore,T929388,2108337966,Closed-No Risk,Risk,4665,Money Laundering
2024-07-30,Jeffrey Moore,T228189,8969258238,In Progress,Risk,6861,Fraud
2024-07-11,Kari Rhodes,T300798,7003299304,Closed-Risk,Risk,8177,Fraud
2024-11-22,Christine Davis,T318641,3714847601,Closed-Risk,Risk,7165,Money Laundering
2024-05-12,Kari Rhodes,T381030,6797205645,Closed-No Risk,Risk,-5003,Investment Scam
2024-09-19,Martha Anderson,T275963,7713440715,In Progress,Risk,-7836,Tax Evasion
2024-05-13,Donna Snow,T951759,1836143509,Closed-No Risk,Risk,231,Fraud
2024-09-10,Nicole Long,T642890,7909941654,Closed-Risk,Risk,-5603,Fraud
2024-09-30,Ashley Orr,T808480,2788535713,Closed-No Risk,Risk,-2086,Fraud
2024-10-17,Donna Snow,T236345,9353697130,In Progress,Risk,-9519,Fraud
2024-04-15,Robin Lowe,T827486,6877144950,Closed-Risk,Risk,3541,Fraud
2024-10-16,Martha Anderson,T744005,7932898811,In Progress,Risk,-6180,Money Laundering
2024-04-24,Donna Snow,T126918,6394195564,Closed-Risk,Risk,-2115,Investment Scam
2024-08-17,Melissa Holt,T366385,9367340651,Closed-Risk,Risk,-4441,Tax Evasion
2024-07-03,Melissa Holt,T977342,6800183151,Closed-Risk,Risk,5862,Tax Evasion
2024-06-03,Samuel Barry,T580518,2098160359,Closed-Risk,Risk,3835,Tax Evasion
2024-07-12,Kathleen Raymond,T485537,2976301744,In Progress,Risk,-1670,Fraud
2024-05-08,Martha Anderson,T870093,2876433981,Closed-No Risk,Risk,6528,Investment Scam
2024-03-04,Kathleen Raymond,T681174,4959403882,Closed-Risk,Risk,3238,Fraud
2024-09-29,Christine Davis,T750583,7241650346,Closed-Risk,Risk,-918,Tax Evasion
2024-02-11,Ryan Mejia,T638132,7192211340,Closed-Risk,Risk,2275,Investment Scam
2024-08-12,Robin Lowe,T953364,2345868496,Closed-Risk,Risk,-6668,Investment Scam
2024-06-24,Martha Anderson,T675556,9208892480,In Progress,Risk,5155,Fraud
2024-01-28,Ashley Orr,T224162,8908176292,Closed-Risk,Risk,-725,Investment Scam
2024-08-22,Nicole Long,T411710,8806034520,In Progress,Risk,8341,Investment Scam
2024-04-11,Kari Rhodes,T132275,9413950082,Closed-Risk,Risk,8471,Investment Scam
2024-03-25,William Melton,T936936,3135753609,In Progress,Risk,-6492,Tax Evasion
2024-03-11,Ashley Orr,T122642,2029019756,Closed-Risk,Risk,-3133,Tax Evasion
2024-07-22,Martha Anderson,T969620,9108385531,Closed-Risk,Risk,-4274,Fraud
2024-04-10,Martha Anderson,T620624,7635193588,Closed-Risk,Risk,-4644,Money Laundering
2024-04-08,Ryan Mejia,T522665,3024249809,Closed-Risk,Risk,6203,Investment Scam
2024-02-16,Samuel Barry,T151783,3268317143,Closed-No Risk,Risk,-4621,Money Laundering
2024-07-07,Nicole Long,T117204,3775116929,In Progress,Risk,1942,Investment Scam
2024-04-16,Donna Snow,T834265,6499054551,Closed-No Risk,Risk,-6683,Investment Scam
2024-10-23,Kathleen Raymond,T977589,2521841800,Closed-Risk,Risk,-1215,Fraud
2024-01-28,Sheila Brown,T176537,5753682067,Closed-Risk,Risk,1080,Fraud
2024-07-12,William Melton,T356533,1907800510,Closed-No Risk,Risk,-5932,Fraud
2024-03-12,Kari Rhodes,T438745,1600336518,In Progress,Risk,-9704,Investment Scam
2024-01-30,Kathleen Raymond,T393423,1963884760,Closed-Risk,Risk,-5023,Fraud
2025-01-09,Ryan Mejia,T352731,3664868452,In Progress,Risk,4471,Tax Evasion
2024-09-29,Melissa Holt,T724199,2579333622,In Progress,Risk,-6409,Tax Evasion
2024-12-09,Kathleen Raymond,T906342,3047687080,In Progress,Risk,8646,Money Laundering
2024-02-09,Martha Anderson,T997639,8106241955,Closed-No Risk,Risk,-6158,Money Laundering
2024-11-17,Kari Rhodes,T393202,7962930190,In Progress,Risk,8377,Investment Scam
2024-09-27,Kathleen Raymond,T829147,1626955122,In Progress,Risk,189,Fraud
2024-10-16,William Melton,T174953,4409893356,Closed-Risk,Risk,-7945,Investment Scam
2024-03-03,Robin Lowe,T606718,2211205830,Closed-No Risk,Risk,-5554,Fraud
2024-03-15,Sheila Brown,T320578,4432966941,Closed-No Risk,Risk,-2530,Investment Scam
2024-04-12,Jeffrey Moore,T352383,3528810613,In Progress,Risk,7416,Money Laundering
2024-10-07,Ryan Mejia,T246020,5725322415,In Progress,Risk,8447,Investment Scam
2024-03-14,Kari Rhodes,T966433,2125543371,In Progress,Risk,2787,Investment Scam
2024-01-30,Christine Davis,T421593,5398050305,Closed-No Risk,Risk,1598,Fraud
2024-06-27,Christine Davis,T991004,9717118350,Closed-No Risk,Risk,686,Investment Scam
2024-11-26,Robin Lowe,T762843,8578596993,Closed-No Risk,Risk,-6468,Tax Evasion
2024-08-23,Ryan Mejia,T388403,5125721569,In Progress,Risk,-4518,Tax Evasion
2024-05-03,Ryan Mejia,T254154,1758945634,Closed-Risk,Risk,6823,Fraud
2024-03-24,Samuel Barry,T666598,5265451814,In Progress,Risk,9217,Money Laundering
2024-01-24,Melissa Holt,T290185,2833171786,Closed-No Risk,Risk,8335,Money Laundering
2024-07-16,Kathleen Raymond,T908612,9039247367,Closed-No Risk,Risk,229,Fraud
2024-05-13,Christine Davis,T662547,6493127522,Closed-No Risk,Risk,-6674,Tax Evasion
2024-04-09,Samuel Barry,T487520,2806112998,In Progress,Risk,7205,Money Laundering
2024-01-26,Melissa Holt,T607593,9181680108,Closed-No Risk,Risk,-8133,Investment Scam
2024-12-31,Ashley Orr,T826782,8452431680,Closed-Risk,Risk,-1430,Fraud
2024-05-03,Nicole Long,T628047,9975899246,Closed-No Risk,Risk,-1547,Money Laundering
2024-10-04,Kari Rhodes,T853917,9975047066,In Progress,Risk,7603,Money Laundering
2024-11-08,Ryan Mejia,T816190,3264683948,Closed-No Risk,Risk,-2949,Investment Scam
2024-05-23,Samuel Barry,T946831,6717254268,Closed-Risk,Risk,1227,Money Laundering
2024-01-24,Martha Anderson,T999974,8691739367,Closed-No Risk,Risk,-6071,Fraud
2024-08-03,Whitney Wilson,T397328,3612685783,Closed-Risk,Risk,-763,Fraud
2024-06-30,Donna Snow,T405027,3140885181,In Progress,Risk,-4311,Money Laundering
2024-09-20,Donna Snow,T985650,7007446342,Closed-Risk,Risk,-7504,Investment Scam
2024-12-07,Donna Snow,T100702,3011685853,Closed-No Risk,Risk,2798,Fraud
2025-01-09,Ryan Mejia,T419044,8550945831,Closed-No Risk,Risk,-674,Fraud
2025-01-15,Sheila Brown,T272507,1692863263,Closed-Risk,Risk,-7957,Investment Scam
2024-09-17,Nicole Long,T548100,9226629235,Closed-Risk,Risk,-9400,Money Laundering
2024-03-11,Donna Snow,T335557,8552251637,Closed-No Risk,Risk,9737,Money Laundering
2024-11-05,Robin Lowe,T938400,6282743835,Closed-Risk,Risk,-490,Investment Scam
2024-04-22,Ryan Mejia,T140594,6097679592,In Progress,Risk,3977,Money Laundering
2024-02-05,Robin Lowe,T603336,9941601537,Closed-No Risk,Risk,747,Money Laundering
2024-10-06,Melissa Holt,T718768,1073036885,In Progress,Risk,5145,Fraud
2024-08-30,William Melton,T311565,7109412154,Closed-No Risk,Risk,9060,Money Laundering
2024-03-01,Whitney Wilson,T906751,1438679226,Closed-Risk,Risk,6445,Money Laundering
2024-03-25,Melissa Holt,T305505,6889332791,In Progress,Risk,1405,Investment Scam
2024-05-16,Sheila Brown,T584224,1231962577,Closed-Risk,Risk,-4567,Tax Evasion
2024-04-27,Sheila Brown,T330189,6734444965,In Progress,Risk,-9791,Money Laundering
2024-12-18,Christine Davis,T556411,2045189353,Closed-Risk,Risk,8448,Fraud
2024-11-05,Ashley Orr,T286392,7899118233,In Progress,Risk,3083,Investment Scam
2024-12-16,Martha Anderson,T673728,5273005581,Closed-No Risk,Risk,-5337,Investment Scam
2024-06-19,Kathleen Raymond,T765252,6101025260,Closed-Risk,Risk,294,Investment Scam
2024-07-04,Kathleen Raymond,T417471,6528425731,In Progress,Risk,3809,Money Laundering
2024-04-15,Whitney Wilson,T420364,7420544216,Closed-No Risk,Risk,7613,Tax Evasion
2024-05-19,Ashley Orr,T597185,4981194759,In Progress,Risk,9284,Tax Evasion
2024-06-01,Samuel Barry,T800891,4851449039,Closed-No Risk,Risk,-1713,Tax Evasion
2024-04-04,Jeffrey Moore,T388714,7453023721,Closed-No Risk,Risk,-7737,Investment Scam
2024-07-30,Melissa Holt,T247788,7923183015,Closed-Risk,Risk,-361,Tax Evasion
2024-04-01,Robin Lowe,T681163,3876039464,In Progress,Risk,3458,Investment Scam
2024-04-24,Ryan Mejia,T249653,4246270516,In Progress,Risk,8684,Tax Evasion
2024-07-15,Robin Lowe,T646444,8609377141,Closed-Risk,Risk,3927,Tax Evasion
2024-10-09,Kathleen Raymond,T126226,7303029018,In Progress,Risk,-6265,Fraud
2024-02-11,Whitney Wilson,T821264,2395726941,Closed-Risk,Risk,1109,Investment Scam
2024-04-11,Whitney Wilson,T855494,2066827180,Closed-Risk,Risk,9694,Money Laundering
2024-07-25,Robin Lowe,T382411,5693644807,Closed-No Risk,Risk,791,Money Laundering
2024-03-03,Kathleen Raymond,T109688,5328771200,Closed-No Risk,Risk,-182,Fraud
2024-10-14,Kari Rhodes,T195981,3811372604,Closed-No Risk,Risk,-8939,Investment Scam
2024-08-29,Samuel Barry,T782736,9328337805,Closed-No Risk,Risk,-9438,Tax Evasion
2024-02-18,Whitney Wilson,T449796,2204886974,Closed-Risk,Risk,4723,Investment Scam
2024-05-08,Kari Rhodes,T398084,2167459772,In Progress,Risk,2491,Investment Scam
2024-05-31,Whitney Wilson,T366618,9904960333,Closed-No Risk,Risk,1934,Tax Evasion
2024-06-07,Samuel Barry,T278738,3945871343,Closed-Risk,Risk,-4840,Investment Scam
2024-01-27,Ashley Orr,T962294,3060465754,Closed-Risk,Risk,6873,Fraud
2024-08-29,Whitney Wilson,T986966,1847613069,In Progress,Risk,5900,Investment Scam
2025-01-01,Kathleen Raymond,T456672,3837577935,In Progress,Risk,6075,Money Laundering
2024-04-17,Melissa Holt,T202219,3309211304,In Progress,Risk,-6187,Money Laundering
2024-08-06,Donna Snow,T673248,5723325881,Closed-No Risk,Risk,726,Tax Evasion
2024-05-15,Melissa Holt,T817881,9437493895,In Progress,Risk,8551,Tax Evasion
2024-07-03,Kathleen Raymond,T808466,7091158517,Closed-No Risk,Risk,-4297,Fraud
2024-12-09,Ryan Mejia,T581679,9469328740,In Progress,Risk,-6586,Investment Scam
2024-12-01,William Melton,T718735,1800064797,In Progress,Risk,1903,Investment Scam
2024-10-07,Whitney Wilson,T475433,8164078504,In Progress,Risk,9080,Fraud
2024-06-15,Melissa Holt,T762223,1143462902,Closed-No Risk,Risk,9337,Money Laundering
2024-07-25,Jeffrey Moore,T641310,4006207612,In Progress,Risk,5049,Fraud
2024-03-27,William Melton,T876012,9586151977,Closed-Risk,Risk,-5207,Investment Scam
2024-02-15,Melissa Holt,T972448,9675387327,Closed-Risk,Risk,2761,Fraud
2024-06-26,Whitney Wilson,T217775,3919841515,Closed-No Risk,Risk,-399,Tax Evasion
2024-11-11,Ashley Orr,T961649,4399225224,In Progress,Risk,6516,Tax Evasion
2024-09-01,Kathleen Raymond,T986534,1063754405,In Progress,Risk,2059,Money Laundering
2024-06-14,Kari Rhodes,T970751,8799211897,Closed-No Risk,Risk,3352,Tax Evasion
2024-03-13,Ryan Mejia,T295712,5859617890,Closed-Risk,Risk,-4029,Tax Evasion
2024-03-07,Samuel Barry,T592503,6393923125,Closed-No Risk,Risk,-803,Money Laundering
2024-02-23,Robin Lowe,T346139,6489449464,Closed-Risk,Risk,962,Fraud
2024-05-06,Jeffrey Moore,T282023,5587752224,In Progress,Risk,8814,Investment Scam
2024-08-18,Ashley Orr,T148658,7125325329,In Progress,Risk,-2161,Investment Scam
2024-06-12,Kari Rhodes,T696529,9876025384,Closed-Risk,Risk,-3606,Fraud
2024-06-17,Martha Anderson,T905377,1605806229,Closed-No Risk,Risk,3295,Money Laundering
2025-01-04,Robin Lowe,T167001,4257436431,In Progress,Risk,-8002,Tax Evasion
2024-05-07,Whitney Wilson,T795508,5986438748,In Progress,Risk,6088,Money Laundering
2024-04-28,Ashley Orr,T483703,9818783624,Closed-Risk,Risk,5525,Fraud
2024-09-04,Ashley Orr,T188689,3117050011,In Progress,Risk,2870,Fraud
2024-04-26,Whitney Wilson,T171646,8286363531,In Progress,Risk,6989,Investment Scam
2024-10-13,Donna Snow,T580356,4478659561,Closed-Risk,Risk,-1249,Investment Scam
2024-04-24,Donna Snow,T202501,4866075747,In Progress,Risk,-7006,Investment Scam
2024-04-17,William Melton,T315772,1285107452,Closed-Risk,Risk,-9658,Money Laundering
2024-11-28,Christine Davis,T308186,8151425016,Closed-No Risk,Risk,-276,Tax Evasion
2024-03-26,Robin Lowe,T259164,3246292732,In Progress,Risk,-97,Investment Scam
2024-04-07,Kari Rhodes,T577597,6902059718,Closed-Risk,Risk,-900,Tax Evasion
2024-05-29,Christine Davis,T173403,3111733267,Closed-No Risk,Risk,-4030,Investment Scam
2024-09-02,Kathleen Raymond,T578806,4772480500,In Progress,Risk,9058,Money Laundering
2024-04-15,Martha Anderson,T199462,7582174179,In Progress,Risk,7136,Tax Evasion
2024-08-28,Melissa Holt,T476405,4739781869,In Progress,Risk,-3083,Fraud
2025-01-12,Sheila Brown,T368942,4194856426,Closed-Risk,Risk,3155,Fraud
2024-08-21,Kathleen Raymond,T717373,8884146685,In Progress,Risk,6142,Fraud
2024-12-03,Kathleen Raymond,T721767,4576470028,Closed-Risk,Risk,1981,Investment Scam
2024-12-04,Samuel Barry,T193700,7702915633,In Progress,Risk,1177,Money Laundering
2025-01-11,Sheila Brown,T659208,7272998160,In Progress,Risk,-386,Money Laundering
2024-04-08,Martha Anderson,T513082,3506942496,In Progress,Risk,3004,Fraud
2024-02-08,Ryan Mejia,T596469,8901568229,Closed-No Risk,Risk,-8955,Tax Evasion
2024-09-07,Christine Davis,T958279,3843902781,Closed-Risk,Risk,-57,Tax Evasion
2024-11-25,Nicole Long,T755188,9127715904,In Progress,Risk,-7397,Fraud
2024-01-24,Ashley Orr,T710333,1328875766,Closed-No Risk,Risk,-1204,Fraud
2025-01-06,William Melton,T512802,6411576128,In Progress,Risk,-7292,Tax Evasion
2024-03-01,Christine Davis,T222798,9660224870,Closed-No Risk,Risk,-837,Tax Evasion
2024-06-06,Sheila Brown,T346303,9072165346,In Progress,Risk,5040,Money Laundering
2024-03-26,Melissa Holt,T782666,5685507226,In Progress,Risk,2659,Fraud
